VOICE_OUT_CALLS,VOICE_OUT_MINS,SMS_OUT_CALLS,OUT_CALLS_ROAMING,GPRS_TRAFFIC,MMS_OUT_CALLS,INTERNET_CALLS,TENURE_START,TENURE_RENEWAL,OUT_COMMUNITY,ARPU
113.719453,9731.231668,53.317815,0,0,2.651429,0,8.213843,8.223275,18.911935,42.977816
85.737091,5733.881441,20.173326,3.729763,0,0,0,10.939408,11.208829,28.696075,30.486712
80.909786,5299.844355,3.753237,0,0,0,0,7.394325,7.32487,18.680244,21.567519
164.109496,7829.131785,0,0,0,0,0,9.581678,10.026831,24.019733,29.117268
384.394981,20542.39172,17.967005,0,0,0,0,8.133078,8.047943,50.64993,143.159254
26.70717,1673.461721,222.720932,0,0,0,0,7.817801,8.637475,16.967037,48.223959
36.670834,2959.269878,0.324056,0,0,0,0,31.489824,29.773776,15.342482,28.182461
207.722653,18155.9301,15.724438,8.180792,0,0,0,12.633618,12.050535,36.748267,55.186886
113.637279,8019.585825,89.154542,14.977789,24.021114,0,0.111892,9.680001,10.066194,27.098853,59.138404
138.892944,11320.42873,2.32569,0,0,0.90178,0,8.289442,8.713027,29.749498,35.761437
36.776305,2981.553037,0.9471,1.442377,14.200767,1.364026,0.345918,10.38899,11.070833,9.010926,20.73636
112.38272,5644.232812,80.28554,0,104.810976,2.10534,0.543571,9.047791,9.583146,31.97718,45.35368
102.392807,3880.589976,3.052026,0,0,0,0,12.310406,12.355586,30.756075,21.747225
162.529161,7919.157013,1.473405,0,0,0,0,7.971371,7.990685,43.934557,29.670402
264.284672,12090.27005,11.096818,0.15531,5.277664,0,0.019033,12.737158,12.301996,37.179745,43.318464
135.75459,8947.326611,12.521227,0,14.080879,0.165751,0.087325,9.694177,9.501964,16.276074,32.410133
79.768788,10772.34104,2.71602,0,0,0,0,11.200874,12.028028,13.928834,34.838765
22.0963,738.761398,19.634937,0,0,0,0,11.374433,12.206046,11.111377,17.641508
140.227266,13305.26098,0.907203,0,0,0,0,11.231545,11.70086,37.271002,53.805147
206.814618,29157.87408,48.529966,0,0.795917,0.156977,0.003053,11.842023,11.556489,36.85524,155.541751
65.6728,3405.755424,0.797368,0,0,0,0,10.393515,10.910516,18.175853,19.303055
80.107241,4738.474753,5.868206,4.133434,0,0,0,11.363034,11.206892,24.720226,29.033672
157.046283,5787.358302,104.191535,0,53.107225,2.602937,0.186093,9.012018,8.709854,45.015829,48.578627
269.133036,25208.63655,179.562941,0,225.235152,0.477676,0.440217,10.82506,10.553295,53.757329,183.45137
77.701093,5276.077622,2.726111,2.328485,0,0,0,8.663483,9.168464,21.54424,24.687627
121.718663,14912.83146,38.515866,0,29.750031,6.513447,0.172636,8.2314,7.942539,40.86326,91.022744
65.851306,5255.216389,0,0,0,0,0,8.153531,8.370162,19.165517,28.461684
139.670628,9271.783372,14.264419,0,5.345421,0.482898,0.034911,8.711174,8.471943,38.373284,42.081589
172.039409,11250.43192,423.238134,0.793375,198.42105,0.958006,0.332305,8.804637,9.428026,66.039635,119.115406
48.472054,4441.349489,87.364092,5.369524,0,0,0,10.442264,10.441194,27.825534,35.950416
147.548229,10410.91724,43.970704,0,21.772401,0.154346,0.105103,10.881473,10.429829,21.196139,41.123899
99.151411,19395.82277,27.296034,0,0.633452,0,0.00492,11.070876,10.301769,32.551911,64.946077
91.877626,10007.84815,77.598759,0,0,0,0,10.585421,10.076491,23.607773,54.957674
85.83182,5311.578429,0.15596,0,0,0,0,10.000107,9.589579,19.792108,25.004999
119.847614,7825.516984,54.487335,0,183.95302,1.140587,0.932664,10.800949,10.533402,18.871855,32.957012
37.603703,2525.04893,3.136714,0,11.305552,1.164903,0.253571,9.051879,8.854683,16.625764,18.752857
76.089692,7385.143296,0.797919,0,17.049437,0,0.203492,11.711102,11.49071,24.337308,42.079447
77.288802,3119.035295,26.837135,0,38.790886,0,0.354233,6.991626,7.170477,27.219137,41.57645
1.543732,31.569229,0,0,0,0,0,8.849551,8.691659,0.776947,9.696737
138.866834,9821.458254,8.47062,0,0.407652,0,0.002572,8.427247,9.040157,50.675695,33.353564
221.415821,16689.93583,4.695384,0,0,0,0,8.385177,8.345009,24.929721,66.285319
100.465629,8171.287689,44.32191,0,0,0,0,8.470705,8.281523,29.93614,43.890693
85.552926,6676.342147,0,0,0,0,0,8.745367,8.487015,37.949885,26.754998
182.281755,13794.9786,13.101543,0,1.443493,0,0.007479,7.151455,7.41693,42.248433,57.645166
73.175905,4816.760608,0.939338,0,0,0,0,10.823342,11.123843,24.538775,25.318005
96.672582,6671.221791,0.163413,0,0,0,0,8.854974,8.689762,21.113133,21.183374
175.563088,13120.55368,11.723289,0,0,0,0,8.324346,8.147654,22.506087,39.558392
196.533652,18677.43378,47.899132,0,152.374046,0.32176,0.620021,10.174041,10.435356,44.885094,77.180173
193.459508,5150.013637,12.085386,0,148.603787,0.769192,0.668553,7.93333,8.087996,32.605181,32.385832
87.720285,4053.769728,9.577742,0,5.792508,0,0.059575,10.793293,10.986658,17.462445,35.635025
242.989529,32478.84249,143.769605,5.833224,87.601346,1.218335,0.205308,10.153693,10.612125,37.629229,116.819831
36.408279,5875.550188,167.763984,0,518.830152,0.165289,2.610389,7.552291,7.539511,22.646915,118.045515
72.81086,4259.60252,14.467347,0,0,0,0,21.418517,8.646849,18.080152,34.969234
122.004881,9708.312686,2.422937,0,0,0,0,10.514724,10.991414,41.330404,58.178641
58.681645,6040.891801,105.428502,37.739067,0,0,0,9.773847,10.602138,22.201761,115.372478
311.687025,48496.62591,32.964428,0,0,0,0,9.948426,9.955976,61.338166,165.772313
2.165736,34.286855,0,0,0,0,0,8.007015,7.881029,0.965285,14.894332
96.0515,9178.341002,17.60651,0,0,0.326088,0,6.775387,6.839094,26.065958,48.457375
126.174796,5969.788427,1.497245,0,0,0,0,8.516904,9.091464,19.359136,40.957021
102.321723,5053.862121,0.643031,0,0,0,0,11.182902,10.821194,22.981751,29.175433
84.884527,7657.181579,20.551831,0,147.565515,6.9503,1.336502,8.71128,8.856662,26.826509,45.268512
142.074385,6179.4435,173.118853,0,79.247848,2.742329,0.241236,10.315015,9.810474,27.807379,44.023157
111.755903,19360.29384,110.245883,0,0,3.794701,0,7.649684,7.668284,23.246834,174.327323
62.729092,6757.811404,391.069691,0,0,0,0,9.833784,9.874676,33.218736,67.346854
127.544323,5849.501156,0,0,0.251879,0,0.001886,11.154169,10.725852,29.570996,29.395162
75.784979,6368.386701,0,0,8.343431,0,0.101106,10.596243,11.083733,18.33323,28.223801
197.861394,19910.01071,31.061912,31.696309,490.617422,1.448493,2.083647,26.939154,9.000345,35.245386,139.660327
70.456686,13927.54385,12.023237,0,5.741414,0.65182,0.069084,8.331967,8.456238,27.747742,41.659993
131.431452,6837.961996,0.800125,0,0,0,0,7.327471,7.220368,40.364044,28.393424
160.008805,4758.638528,349.657246,0,0,0,0,7.382522,6.752216,19.510768,60.469576
100.894195,8800.62045,2.359962,0,7.014525,0,0.068929,10.351366,9.995588,17.937872,36.078957
55.749043,4776.785293,51.058869,0,0,0,0,7.917487,7.792413,14.929964,35.839676
76.394377,6636.848117,8.167785,7.742859,167.926587,0.806777,2.052969,10.397629,10.386665,23.91129,46.998365
86.675605,7688.040803,36.920607,0,0,0,0,11.335862,10.49593,26.98495,52.08171
211.438552,7783.936011,8.049966,0,27.709201,2.31517,0.120833,8.272691,8.11035,41.545919,30.683875
283.019729,14630.35968,8.911955,0,0,0,0,10.42095,11.25097,62.693126,59.828805
11.179234,703.384441,47.824769,0,802.055243,0.303794,12.736563,10.976772,10.792902,9.36539,37.557842
125.643755,6892.947669,16.88652,0,1.918589,0,0.013923,10.151378,11.081461,33.712929,47.745113
200.258808,9308.980689,231.155118,56.165596,56.966034,3.082012,0.147536,8.575938,9.073063,43.8407,82.931021
20.277072,1028.667406,0,0,0,0,0,28.472765,27.339163,3.690529,10.140201
74.5414,4078.358055,0.317705,0,0.913448,0,0.011807,10.326747,9.618236,25.345513,33.408627
129.184173,16333.96409,42.536193,0,27.439441,0.332938,0.148553,7.421345,7.422217,39.431129,121.998761
21.806157,3660.584899,1.724751,0,0,0,0,6.876189,7.13021,9.301235,25.818705
162.550323,13984.88598,30.311867,0,167.123793,3.558111,0.780135,10.951526,10.440426,60.377255,56.391386
14.667233,2528.574079,13.964744,0,0,0,0,7.402317,7.105829,5.679895,20.224242
150.746205,15869.78679,204.166693,0,0,0,0,9.814839,9.930427,56.000655,81.377119
188.353703,8923.566321,40.505853,0,0,0,0,9.215339,9.641598,43.577983,43.728369
122.593576,13370.58766,141.875107,0,14.740188,0.760581,0.052394,10.051424,9.854326,27.354067,99.534712
325.549104,26558.9026,18.537823,0,1.477402,0,0.004201,9.33561,9.005926,42.143389,95.685937
195.429531,13772.67954,66.487555,28.86876,526.456367,0.470347,2.07985,9.424617,9.457964,36.567401,52.431174
14.573564,1811.504879,0,0,0,0,0,7.380179,7.695895,8.94805,14.665478
131.533936,8679.611951,0.650423,0,0,0,0,27.278925,11.662299,34.816727,49.537087
134.370179,6413.402455,4.763808,0,0,0,0,9.095556,9.63091,16.517161,37.071399
87.895098,5364.03102,0.491878,0,7.44858,0,0.077053,9.036943,9.133505,19.621003,25.657147
84.116337,10518.23454,0,0,0,0,0,24.94327,13.218334,18.133663,53.591999
24.635966,988.160106,2.734182,0,0,0,0,10.475691,10.673896,8.860937,17.990187
372.088996,44608.79005,46.454124,0,0,0,0,9.927305,10.212072,58.719094,174.102941
30.895761,2325.061479,1.288854,0,0,0,0,21.118634,22.755783,9.171578,27.849767
72.963463,7505.241089,14.086879,0,0,0,0,8.017515,7.856329,12.73248,33.678806
144.181398,14431.95957,2.480611,4.534016,0,0.304501,0,23.867165,23.295378,47.685885,108.144678
103.19011,4296.202859,1.10417,0,0,0,0,7.097404,6.672814,16.751973,26.132671
69.071347,5225.211474,0,0,0,0,0,6.902134,6.991353,23.056916,19.382801
68.262028,3454.183106,11.128917,0,5.104184,0,0.064414,6.686815,6.882417,17.87616,19.015311
58.640192,3874.4659,1.896453,0,0,0,0,6.816588,6.59366,18.165922,16.012549
153.197319,8948.860074,0.154876,0,0,0,0,6.986476,7.144462,41.647482,33.605295
107.109433,6609.493878,8.806171,0,47.124334,1.438615,0.403642,7.134785,6.739324,27.413626,28.247995
65.444567,4412.657108,0,0,0,0,0,6.503752,6.622737,16.096509,19.479702
57.912653,9156.559541,5.311385,0,25.494343,0,0.385772,6.877159,6.846681,9.383277,51.295033
49.782116,3777.882929,6.899567,0,0,0,0,27.984467,13.326239,9.022155,31.66531
278.627825,9128.63036,17.492898,0,32.230397,0.65947,0.111239,9.814955,10.648176,43.009876,46.842871
72.581235,4353.345979,116.36021,0,0,1.974529,0,9.453112,8.885952,16.757772,32.092825
92.348798,6440.561913,2.062831,0,0,0,0,9.139104,9.480869,25.175246,21.348887
221.629012,12209.45922,73.651705,0,5.912735,1.70671,0.018837,8.321931,8.14268,41.526514,98.518745
37.517197,2169.991684,0.3142,0,51.621899,0.322459,1.367045,10.544764,10.002132,12.881356,33.852534
71.631559,2718.69254,1.058891,0,0,0,0,8.639837,8.864143,24.408994,26.129943
213.391818,12551.27397,6.482433,0,0,0,0,7.675289,7.795929,24.048316,50.090374
148.613769,7541.201296,237.034624,0,2324.095262,5.008792,6.068669,9.866421,9.593196,45.520752,113.817132
61.357783,2250.54876,362.948896,0,469.824132,0.778355,1.166266,9.907856,9.828178,25.308874,46.240984
44.392268,4836.671798,2.707422,0,0.334101,0,0.006712,26.426145,13.090008,18.673329,28.38406
120.67864,2957.08663,1.275682,0,0,0,0,9.076699,8.863277,21.366358,22.714408
231.560669,11979.63925,8.845477,0,2.348439,0.158345,0.009443,10.474597,10.346468,25.547515,41.650321
158.13771,10049.39518,175.193236,0,0,0.332622,0,10.383745,10.026,17.467736,63.489964
189.465813,15940.3467,142.328442,0,0,0,0,9.837584,9.152922,28.127905,104.717393
123.101704,5248.507568,3.455228,0,0,0,0,7.825716,7.386741,35.64993,31.70681
27.071446,4245.876142,1.131265,0,0,0,0,10.71316,10.057528,12.380379,20.520142
207.481809,13027.95666,25.795494,0,0,0,0,26.674485,10.183823,69.182387,59.355031
43.176317,2325.146156,1.851015,0,0,0,0,25.715953,14.308553,11.495249,32.251874
292.527815,22371.49075,358.279388,0,10.683022,0.153203,0.01502,11.113978,11.153249,78.570214,146.795096
149.312282,8932.969586,36.732172,0,575.816796,1.800184,2.815555,10.134978,10.646403,27.495672,51.385575
251.684656,16118.36644,54.351497,0,0,0,0,10.235698,10.292209,38.870307,98.284057
52.798479,3615.005083,1.582391,0,0,0,0,9.835879,10.258208,20.444197,28.071704
195.75187,16694.75173,17.494485,0,12.14449,0.9839,0.057147,7.908325,7.51656,64.817852,115.915459
509.931882,34533.35312,5.727298,0,0,0,0,6.859347,7.630818,58.995649,143.19657
81.373415,3882.33461,29.906121,0,0,0,0,8.010844,7.764505,21.026559,22.473774
66.591444,4745.361708,12.825824,0,31.984993,0.658225,0.350734,7.866419,7.474652,18.310363,60.014278
46.432326,2781.55995,5.920578,0,17.76118,0.315307,0.316507,8.465918,9.083035,15.888298,20.032693
209.508046,31795.22846,11.132782,0,22.92509,5.137106,0.087016,18.983967,8.067016,47.775566,104.784245
113.85286,4786.886691,0.468069,0,0,0,0,10.192219,9.564595,30.181845,22.890548
158.771275,5901.158398,39.474853,0,126.813456,2.651761,0.650039,10.683201,10.21794,33.912925,38.081449
