region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,tollfree,equip,callcard,wireless,longmon,tollmon,equipmon,cardmon,wiremon,longten,tollten,equipten,cardten,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,loglong,logtoll,logequi,logcard,logwire,lninc,custcat,churn
3,11,33,1,7,136,5,5,0,0,6,1,0,1,1,4.4,20.75,0,15.25,35.7,42,211.45,0,125,380.35,0,1,1,0,1,1,1,1,0,1.48160454092422,3.03254624667671, ,2.72457950305342,3.57515068878559,4.91265488573605,4,1
2,33,33,0,12,33,2,0,0,1,1,0,0,0,0,9.45,0,0,0,0,288.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24601474150565, , , , ,3.49650756146648,1,1
2,41,39,0,17,78,2,16,0,1,1,1,0,1,0,11.8,19.25,0,13.5,0,487.4,798.4,0,570,0,0,0,0,0,1,1,0,0,0,2.46809953147162,2.95751106073379, ,2.60268968544438, ,4.35670882668959,3,0
2,38,35,0,5,76,2,10,0,0,3,1,1,1,1,6.05,45,50.1,23.25,64.9,239.55,1873.05,1820.9,880,2256.7,1,1,1,1,1,1,1,1,1,1.80005827204275,3.80666248977032,3.91402100809082,3.14630513203337,4.17284762371004,4.33073334028633,4,0
1,68,41,1,21,72,1,22,0,0,3,0,0,1,0,24.15,0,0,16.5,0,1659.7,0,0,1155,0,1,0,0,0,0,0,0,0,0,3.18428438009858, , ,2.80336038090653, ,4.27666611901606,2,0
3,7,35,0,14,80,2,15,0,1,1,1,0,1,0,7.1,22,0,23.75,0,47.45,166.1,0,145,0,0,1,0,0,1,1,1,1,0,1.96009478404727,3.09104245335832, ,3.16758253048065, ,4.38202663467388,3,0
2,57,54,1,30,115,4,23,0,1,3,1,1,0,1,15.6,46.25,46.7,0,61.05,825.35,2624.25,2590.95,0,3348.85,1,1,1,1,1,1,1,1,1,2.74727091425549,3.83406146395843,3.84374416467485, ,4.11169320055671,4.74493212836325,4,1
1,29,38,1,12,75,5,1,0,0,4,0,1,1,0,5.1,0,30.25,11.25,0,146.25,0,780.8,295,0,1,0,0,1,0,0,0,0,0,1.62924053973028, ,3.40949618447685,2.42036812865043, ,4.31748811353631,2,0
3,34,48,0,3,49,2,6,0,1,3,1,0,0,0,6.65,18.5,0,0,0,230.8,614.3,0,0,0,0,0,0,0,0,1,1,1,0,1.89461685466776,2.91777073208428, , , ,3.89182029811063,3,0
1,26,29,1,3,77,4,2,0,0,4,0,1,1,1,6.7,0,48.1,24.25,38.3,140.95,0,1132.8,610,910.1,1,1,0,1,1,1,1,1,1,1.90210752639692, ,3.87328217711172,3.18841661738349,3.6454498961866,4.34380542185368,4,1
1,68,52,1,17,120,1,24,0,0,2,0,0,1,0,20.7,0,0,22,0,1391.05,0,0,1505,0,0,0,0,0,0,0,1,0,0,3.03013370027132, , ,3.09104245335832, ,4.78749174278205,1,0
3,55,48,1,19,67,1,25,0,0,3,0,0,1,0,15.05,0,0,27.25,0,810.45,0,0,1390,0,0,0,0,0,0,0,0,0,0,2.71137799119489, , ,3.30505352110925, ,4.20469261939097,1,0
2,1,21,0,0,33,2,0,0,1,3,1,0,1,0,2.2,20.75,0,40.5,0,2.2,20.75,0,40.5,0,0,0,0,0,0,1,1,1,0,.78845736036427,3.03254624667671, ,3.70130197411249, ,3.49650756146648,3,0
3,25,33,1,11,31,1,5,0,0,4,0,0,0,0,9.1,0,0,0,0,234.95,0,0,0,0,1,0,0,0,1,0,1,0,0,2.2082744135228, , , , ,3.43398720448515,3,0
2,13,33,1,9,19,4,0,0,1,2,0,1,0,0,5.55,0,27.35,0,0,75.25,0,330.65,0,0,1,0,0,1,0,0,0,1,1,1.71379792775834, ,3.30871652886799, , ,2.94443897916644,2,0
1,71,53,1,27,155,5,12,0,0,2,1,0,1,1,21,56,0,34,49.95,1519.2,4064.3,0,2345,3646.9,1,1,0,1,0,0,1,1,1,3.04452243772342,4.02535169073515, ,3.52636052461616,3.91102250509456,5.04342511691925,4,0
1,11,27,1,8,55,5,0,0,0,3,0,1,0,0,4.8,0,19.55,0,0,54.1,0,220.4,0,0,1,0,0,1,0,0,0,0,0,1.56861591791385, ,2.97297528643138, , ,4.00733318523247,2,0
3,20,35,1,11,52,4,0,0,0,2,0,1,0,0,4.25,0,30.55,0,0,82.7,0,547.15,0,0,1,0,0,1,0,0,0,0,1,1.44691898293633, ,3.4193646856176, , ,3.95124371858143,2,1
1,44,57,1,1,186,2,17,0,0,2,1,0,1,1,9.8,33.5,0,36,41.65,428.25,1379.55,0,1535,1826.7,1,1,0,0,1,1,1,1,0,2.28238238567653,3.51154543883102, ,3.58351893845611,3.72930136861285,5.2257466737132,3,0
2,72,57,0,34,22,2,35,1,1,1,1,0,1,0,41.75,49,0,18.75,0,3043.05,3581,0,1360,0,1,0,0,0,1,1,1,1,0,3.73169945129686,3.89182029811063, ,2.93119375241642, ,3.09104245335832,3,0
2,15,28,0,0,29,2,4,0,1,1,1,0,1,0,4.25,30,0,17.75,0,78,426.05,0,255,0,0,0,0,0,1,1,1,1,0,1.44691898293633,3.40119738166216, ,2.87638551592142, ,3.36729582998647,3,0
1,9,36,1,14,62,4,10,0,0,6,0,1,0,1,5.65,0,46.75,0,48.5,43.3,0,386.6,0,364.85,1,1,1,1,0,0,0,1,1,1.73165554515835, ,3.8448142557347, ,3.88156379794344,4.12713438504509,4,1
1,65,41,1,3,74,4,16,0,0,2,0,1,1,0,14.5,0,37,17,0,963.3,0,2263.05,1065,0,1,1,0,1,0,0,0,0,1,2.67414864942653, ,3.61091791264422,2.83321334405622, ,4.30406509320417,2,0
3,47,41,1,0,36,4,8,0,0,2,0,1,1,1,7.75,0,37.45,18.5,38.8,361,0,1717.75,845,1730.4,1,0,1,1,0,1,0,1,1,2.04769284336526, ,3.62300670996323,2.91777073208428,3.65842024662923,3.58351893845611,4,1
1,5,36,0,14,29,2,9,0,1,1,1,0,1,1,3.25,31.5,0,15.5,26.75,16.8,154.65,0,60,98.6,0,0,0,1,1,1,1,1,1,1.17865499634165,3.44998754583159, ,2.7408400239252,3.28653447334202,3.36729582998647,3,1
1,56,52,1,28,49,2,12,0,0,4,0,0,1,0,24.75,0,0,22.25,0,1349.05,0,0,1215,0,1,0,0,0,0,0,0,0,0,3.2088254890147, , ,3.10234200861225, ,3.89182029811063,2,0
1,7,26,1,3,26,2,2,0,0,5,1,0,0,0,4.85,15.5,0,0,0,33.7,136.55,0,0,0,0,0,0,0,0,1,0,0,0,1.57897870494939,2.7408400239252, , , ,3.25809653802148,1,0
2,36,45,1,1,94,2,18,0,1,5,1,1,0,0,7.2,15.75,28.35,0,0,258.75,553.8,1043.8,0,0,0,0,1,1,1,0,0,1,0,1.97408102602201,2.75684036527164,3.34462703017376, , ,4.54329478227,1,1
1,58,62,1,36,27,1,0,0,0,2,0,0,1,0,15.5,0,0,34.5,0,967.1,0,0,1910,0,0,0,0,0,0,0,0,0,0,2.7408400239252, , ,3.54095932403731, ,3.29583686600433,1,0
